rank,dim,avg_rank,abs_beta_reg,abs_beta_cls
1,148,17.5,58.27178977791414,0.701591774979837
2,87,65.0,0.0,1.7617388717502025
3,2,65.5,0.0,1.7382690680137256
4,173,66.0,0.0,1.6654701248097583
5,186,66.5,0.0,1.6303267136685935
6,8,67.0,0.0,1.5559280120190462
7,163,67.5,0.0,1.5245351759908081
8,202,68.0,0.0,1.5135005824088676
9,16,68.5,0.0,1.4427483029987234
10,61,69.0,0.0,1.339227621440511
11,124,69.5,0.0,1.2331849432217534
12,134,70.0,0.0,1.2286973015541396
13,155,70.5,0.0,1.2267842167183658
14,169,71.0,0.0,1.2052711039338024
15,42,71.5,0.0,1.1818834705667196
16,207,72.0,0.0,1.069724609658527
17,132,72.5,0.0,0.9770325466402607
18,233,73.0,0.0,0.9417697456994423
19,241,73.5,0.0,0.933602621947969
20,28,74.0,0.0,0.9147955423093208
