subset_idx,orig_dim,beta,abs_beta
49,237,0.6488272115406847,0.6488272115406847
4,212,0.5166706060092451,0.5166706060092451
12,204,0.4000707648588442,0.4000707648588442
0,148,0.3575463480932449,0.3575463480932449
5,127,-0.35126357097455363,0.35126357097455363
29,247,-0.3402214016345413,0.3402214016345413
28,200,0.3345209160380421,0.3345209160380421
20,241,-0.3079489140453806,0.3079489140453806
47,223,-0.26779781384949986,0.26779781384949986
3,66,0.2648968207983558,0.2648968207983558
46,11,-0.2635881661990946,0.2635881661990946
24,77,0.2605724671627066,0.2605724671627066
45,13,-0.2483888714546674,0.2483888714546674
40,85,-0.24696736257114907,0.24696736257114907
38,239,-0.23833570584549474,0.23833570584549474
64,55,-0.2244526871060355,0.2244526871060355
1,198,-0.2187359400644136,0.2187359400644136
21,163,0.21816344802013843,0.21816344802013843
75,68,0.21160973181010015,0.21160973181010015
32,44,0.21143120371215982,0.21143120371215982
6,60,-0.20603601866071247,0.20603601866071247
97,213,0.2045817858282946,0.2045817858282946
44,40,-0.20132663344483143,0.20132663344483143
23,18,0.201198189658921,0.201198189658921
26,249,-0.19913646907614366,0.19913646907614366
13,205,-0.1986741511121172,0.1986741511121172
18,64,-0.19503555893706126,0.19503555893706126
11,202,-0.19466266319973025,0.19466266319973025
55,189,-0.19441311250346593,0.19441311250346593
9,78,-0.19102369591917936,0.19102369591917936
112,169,0.183356315049172,0.183356315049172
66,46,-0.17935585058335127,0.17935585058335127
65,217,-0.17258415789855097,0.17258415789855097
80,195,0.16357799754880492,0.16357799754880492
100,254,0.1614803275364344,0.1614803275364344
31,225,-0.1597164432496748,0.1597164432496748
16,190,-0.153724151569144,0.153724151569144
62,94,0.15300191702295038,0.15300191702295038
115,108,-0.14658932540248543,0.14658932540248543
50,36,-0.14621096906316455,0.14621096906316455
78,5,-0.14339709278551746,0.14339709278551746
42,134,0.13319598529452936,0.13319598529452936
109,224,0.13119287634741206,0.13119287634741206
52,161,0.12890802310702043,0.12890802310702043
43,179,0.12889908194946,0.12889908194946
33,37,0.1270949230666186,0.1270949230666186
14,170,-0.12610601949250222,0.12610601949250222
93,115,-0.1250508062262681,0.1250508062262681
98,103,0.12194100369044003,0.12194100369044003
57,0,-0.12170542895777851,0.12170542895777851
51,118,0.11566308382344007,0.11566308382344007
60,116,-0.11517185223759638,0.11517185223759638
34,14,-0.11297728977818765,0.11297728977818765
17,95,-0.10687854470016253,0.10687854470016253
67,32,-0.10048029062560776,0.10048029062560776
27,174,0.09830942698409993,0.09830942698409993
81,4,-0.09798064361723913,0.09798064361723913
94,76,-0.0976632650021916,0.0976632650021916
113,150,0.09344222065114542,0.09344222065114542
88,255,-0.08693822310780717,0.08693822310780717
61,98,-0.08641259277358143,0.08641259277358143
83,106,0.08571257096004913,0.08571257096004913
59,206,0.08444636282111911,0.08444636282111911
15,33,0.08041436154240669,0.08041436154240669
84,180,0.07886005050584714,0.07886005050584714
37,34,-0.07880145098472628,0.07880145098472628
22,135,0.07782187140294217,0.07782187140294217
63,52,0.07651930033277048,0.07651930033277048
111,176,-0.07471346216619121,0.07471346216619121
87,28,-0.0725215547195672,0.0725215547195672
85,9,-0.06895278781565353,0.06895278781565353
25,48,0.06893484300482183,0.06893484300482183
91,31,0.06768875344849426,0.06768875344849426
36,81,0.06490372911574462,0.06490372911574462
68,82,-0.06217571679614647,0.06217571679614647
41,100,0.060488041653192215,0.060488041653192215
39,128,-0.058770732083491296,0.058770732083491296
73,210,-0.056768549755694744,0.056768549755694744
54,130,0.05510096103409379,0.05510096103409379
7,26,-0.054904879527783876,0.054904879527783876
58,142,0.05463985482934851,0.05463985482934851
53,105,-0.05238419486781495,0.05238419486781495
74,152,0.05158465538848331,0.05158465538848331
19,29,-0.0511824181408083,0.0511824181408083
76,49,0.04917769634159387,0.04917769634159387
105,252,-0.0471350634309216,0.0471350634309216
35,90,-0.04663557511909756,0.04663557511909756
90,184,-0.04568414993502404,0.04568414993502404
72,88,-0.044574191990315405,0.044574191990315405
92,20,-0.042680366618493615,0.042680366618493615
99,231,-0.04015276016109159,0.04015276016109159
77,192,-0.03984349667942299,0.03984349667942299
107,12,0.036119805354404934,0.036119805354404934
86,149,0.03574764000942769,0.03574764000942769
8,168,0.03531753718128033,0.03531753718128033
79,122,0.03276583254797721,0.03276583254797721
70,27,0.03178673844288196,0.03178673844288196
110,97,-0.030284616264551183,0.030284616264551183
101,154,0.02959137983180334,0.02959137983180334
114,62,0.029476575616822556,0.029476575616822556
71,153,-0.028250088067523924,0.028250088067523924
30,191,0.027479844971920228,0.027479844971920228
69,70,-0.025188789904298504,0.025188789904298504
96,58,0.02480893154715234,0.02480893154715234
89,230,0.020245678820140837,0.020245678820140837
104,147,0.019924112922772876,0.019924112922772876
103,182,-0.019851459229923464,0.019851459229923464
56,143,0.0196789650561646,0.0196789650561646
108,229,0.016004086969564353,0.016004086969564353
102,155,-0.010065037263748099,0.010065037263748099
10,59,0.0096036284650178,0.0096036284650178
95,51,-0.00949756706059679,0.00949756706059679
82,138,-0.006691750454770907,0.006691750454770907
2,6,0.005598997064235883,0.005598997064235883
106,87,-0.005584393668790726,0.005584393668790726
48,226,0.0010681607783897147,0.0010681607783897147
