dataset,model_type,features,n,n_fast,auc,ap,sens,spec,bal_acc,mcc
A2,GLM,GFP (top-20),274,54,0.647,0.326,0.5,0.691,0.595,0.16
A2,GLM,BF (top-20),274,54,0.686,0.352,0.537,0.741,0.639,0.238
A2,GLM,GFP+BF (top-40),274,54,0.712,0.398,0.519,0.764,0.641,0.247
A2,Network,GFP (256),274,54,0.658,0.297,0.593,0.695,0.644,0.239
A2,Network,BF (256),274,54,0.586,0.246,0.574,0.495,0.535,0.055
A2,Network,GFP+BF (512),274,54,0.693,0.361,0.556,0.759,0.657,0.272
A3,GLM,GFP (top-20),223,51,0.569,0.34,0.471,0.686,0.578,0.138
A3,GLM,BF (top-20),223,51,0.783,0.498,0.706,0.715,0.71,0.364
A3,GLM,GFP+BF (top-40),223,51,0.745,0.427,0.588,0.756,0.672,0.309
A3,Network,GFP (256),223,51,0.587,0.351,0.608,0.529,0.568,0.115
A3,Network,BF (256),223,51,0.566,0.311,0.725,0.378,0.552,0.091
A3,Network,GFP+BF (512),223,51,0.553,0.331,0.412,0.651,0.531,0.055
A2+A3,GLM,GFP (top-20),497,105,0.635,0.306,0.495,0.735,0.615,0.202
A2+A3,GLM,BF (top-20),497,105,0.675,0.368,0.581,0.648,0.614,0.191
A2+A3,GLM,GFP+BF (top-40),497,105,0.71,0.403,0.6,0.679,0.639,0.234
A2+A3,Network,GFP (256),497,105,0.636,0.314,0.543,0.671,0.607,0.18
A2+A3,Network,BF (256),497,105,0.609,0.306,0.695,0.421,0.558,0.097
A2+A3,Network,GFP+BF (512),497,105,0.64,0.291,0.59,0.653,0.622,0.203
