feature,importance_reg,importance_bin
nuc_bfp_start,0.05887,0.04688
nuc_bfp_mean,0.05609,0.15378
gfp_snr_sd,0.04813,0.06964
gfp_ratio_start,0.04465,0.05894
gfp_corr_slope,0.04374,0.02641
gfp_corr_start,0.04218,0.02276
bf_ctrst_mean,0.03868,0.01843
gfp_ratio_mean,0.03756,0.06005
nuc_area_mean,0.03612,0.025
nuc_area_slope,0.035,0.00864
gfp_ratio_slope,0.03469,0.01729
nuc_ratio_mean,0.03459,0.03948
area_mean,0.03367,0.01372
gfp_ratio_max,0.03346,0.04816
gfp_corr_mean,0.03318,0.03395
gfp_corr_sd,0.0316,0.03283
nuc_circ_sd,0.03139,0.02955
gfp_ratio_sd,0.03057,0.04877
nuc_ratio_slope,0.03011,0.01465
nuc_circ_mean,0.02993,0.04991
area_start,0.02983,0.0108
area_sd,0.029,0.01318
area_slope,0.02811,0.0113
bf_ctrst_sd,0.02744,0.01193
nuc_bfp_slope,0.02741,0.03264
solidity_sd,0.02687,0.02089
nuc_bfp_sd,0.02549,0.04563
shape_idx_mean,0.02279,0.01641
solidity_mean,0.01883,0.01835
