perm_r2,perm_rho
-0.25159494263755566,0.008957220303323282
-0.33883388702329964,-0.07734995621073165
-0.3426670441211812,-0.0825768626997664
-0.36557933180182034,-0.14930424153851923
-0.19576410807450917,0.033038672558821154
-0.22129892170759358,0.035546434230263234
-0.22445225428705928,-0.01482047559302409
-0.2087432410898209,0.013191236939398646
-0.21219382332152614,0.03615697718094837
-0.2200806736420413,-0.0027977353607164033
-0.21415124175113043,0.005033900236052385
-0.3086630740189129,-0.023618510946749105
-0.22250269266063905,0.014476544217426002
-0.2320965937167403,-0.0009627341532657568
-0.3086451195015367,-0.06822191877543235
-0.15784788992860888,0.0686868639475319
-0.22828112740583362,0.0031727999303255727
-0.25899575812030173,-0.006167989143168774
-0.3075991517784724,-0.07122292407946444
-0.18133707419635714,0.05978325920752127
-0.2444463191027424,-0.001985388708191774
-0.3047751148609019,-0.07482015204243088
-0.2079886973548699,-0.004563041334840767
-0.28259975035076157,-0.030511556499893386
-0.2786714267293371,-0.05882262666703806
-0.20281485154315693,0.035126795919777916
-0.2723401765008313,-0.03305636520596718
-0.1879759591524266,0.038634241029685705
-0.1791672457869664,0.021283912393644962
-0.19708325240174118,0.023169694430887625
-0.18367643263790856,0.033348733756319276
-0.2914344073123565,-0.06600716102564873
-0.21682879152753332,0.0188072350414981
-0.16278792588086266,0.06226531277841417
-0.20972685532214608,0.02440617586775789
-0.22917955931748457,0.03522889520123655
-0.2830777849938042,-0.04485198463361317
-0.21957557323427035,-0.0034126281611142352
-0.24518577478626447,-0.02259639401369769
-0.30354296996707997,-0.05880073079432697
-0.2745230623622026,-0.04574282407982978
-0.2173463226608101,0.009625630917602013
-0.19576569267732413,0.04669519679333047
-0.21176523425940674,0.039200796736085175
-0.22091180272858568,0.015283710150068098
-0.3332965449043177,-0.10468318993740583
-0.29551096989378456,-0.0849977740011022
-0.2517075272723104,-0.022560080099804074
-0.22084360599814867,0.005380959593466343
-0.2578342836354335,-0.00605122744694825
-0.19294878942934046,0.0637488559040223
-0.2886438209161948,-0.0840520503029684
-0.25879163661298943,-0.06501011682184016
-0.20067996478136862,0.009016456458961321
-0.28349431393205626,-0.052424828609834585
-0.23738862345323453,0.02326451137968119
-0.23973727536291944,-0.041582021768132124
-0.29281411999285933,-0.07565693605289199
-0.25614428986858506,-0.002404929269245346
-0.2005981487616837,0.01610553849747208
-0.13464774940892443,0.09465126350675182
-0.25962776962059375,-0.002851204299881432
-0.12783104844339466,0.09926019808828873
-0.29423317659959225,-0.0820583019643542
-0.23496743787615326,-0.012829124169495812
-0.288737373048922,-0.012757033963583181
-0.20663024741789915,0.053118409702787896
-0.17947115134512726,0.06054321216463008
-0.21240797402057598,0.0029815531671146425
-0.17650011733866067,0.049814185661479896
-0.2683360021495411,-0.016778543335042872
-0.17722455487361155,0.0596537412104579
-0.20467529140322793,0.02600560094470082
-0.18959292502339342,0.04002042572127488
-0.1924975221270031,0.013747235707169547
-0.2557126636247067,0.0007650848022754674
-0.31387175012727697,-0.09846241610109426
-0.10571107859699524,0.1084801688641451
-0.20249898203512573,0.011943954190320457
-0.2421910878901472,-0.011121490471610124
-0.19863607595079014,0.049190446537509064
-0.19920806822511516,0.035127724539379505
-0.14320658216415172,0.10866252042906716
-0.1283566000405667,0.06877894391223657
-0.17734541219889355,0.05000689866616702
-0.25855071279127495,-0.004854432279366841
-0.2418346454205278,0.003741994871382178
-0.22301209596588767,-0.015043393172120703
-0.23590051314935323,-0.015572999593320206
-0.3051435066006516,-0.07306589186560238
-0.24731126984317475,-0.043725715681036455
-0.2317231539151714,-0.018334958662017592
-0.22634525749900503,-0.01995554649093352
-0.2133196351721489,-0.01495048233724619
-0.2521397575246507,-0.024673716062446522
-0.17686637483544287,0.039748194525202396
-0.25165522031688936,-0.03058203384018221
-0.2350036161013731,0.004257281000830898
-0.2789176495576464,-0.00871592583105843
-0.1901373987034578,0.04082485466982808
