feature,mean_abs_shap,mean_shap
gfp_at_f16,0.31251,-0.13715
gfp_corr_start,0.29726,-0.14268
nuc_bfp_start,0.29575,-0.11575
nuc_bfp_sd,0.261,-0.03655
bf_ctrst_sd,0.25044,-0.06103
nuc_area_mean,0.24857,-0.11659
area_mean,0.22213,-0.12052
gfp_ratio_sd,0.20703,-0.1059
nuc_circ_sd,0.19834,-0.11214
nuc_ratio_mean,0.19386,-0.07553
nuc_ratio_slope,0.17926,-0.07309
gfp_ratio_mean,0.17045,-0.08442
gfp_corr_slope,0.15537,-0.06235
gfp_ratio_slope,0.15299,-0.05482
solidity_sd,0.15171,-0.06426
area_start,0.14222,-0.0513
nuc_circ_mean,0.14209,-0.05392
gfp_delta_mean,0.13698,-0.05789
bfp_delta_mean,0.13639,-0.0324
gfp_corr_mean,0.13062,-0.05673
nuc_bfp_mean,0.12642,-0.05278
nuc_area_slope,0.11932,-0.05994
area_slope,0.11289,-0.05639
solidity_mean,0.11255,-0.04429
bfp_at_f16,0.11083,-0.05144
nuc_bfp_slope,0.1093,-0.06876
gfp_ratio_start,0.1091,-0.04501
gfp_ratio_max,0.10728,-0.06162
area_sd,0.10498,-0.04045
bf_ctrst_mean,0.08803,-0.03883
gfp_snr_sd,0.08449,-0.04318
gfp_corr_sd,0.08257,-0.03412
shape_idx_mean,0.07536,-0.0255
